x,y
-41.72232641483232,-7.398269985894048
-41.314763189216094,-7.3859612388135165
-40.91491987458784,-7.367503041644781
-40.522504522706214,-7.343174461757621
-40.137225185329854,-7.313254566521797
-39.75878991421741,-7.278022423307085
-39.38690676112749,-7.237757099483249
-39.021283777818745,-7.1927376624200585
-38.66162901604982,-7.143243179487282
-38.30765052757937,-7.0895527180546924
-37.95905636416598,-7.031945345492051
-37.61555457756834,-6.970700129169133
-37.27685321954505,-6.906096136455705
-36.942660341854776,-6.838412434721538
-36.612683996256145,-6.7679280913363975
-36.286632234507785,-6.694922173670052
-35.964213108368355,-6.619673749092275
-35.645134669596466,-6.54246188497283
-35.32910496995079,-6.463565648681491
-35.01583206118993,-6.383264107588021
-34.70502399507255,-6.301836329062194
-34.39638882335727,-6.219561380473776
-34.08963459780275,-6.136718329192536
-33.78446937016759,-6.053586242588244
-33.48060119221047,-5.970444188030669
-33.177738115690005,-5.887571232889577
-32.87558819236483,-5.80524644453474
-32.57385947399359,-5.723748890335925
-32.27226001233493,-5.643357637662904
-31.970497859147468,-5.56435175388544
-31.66828106618986,-5.487010306373307
-31.365317685220738,-5.411612362496272
-31.061315767998742,-5.338436989624103
-30.755983366282504,-5.26776325512657
-30.449028531830667,-5.199870226373442
-30.14015931640187,-5.135036970734488
-29.829083771754743,-5.0735425555794755
-29.515509949647935,-5.015666048278174
-29.199145901840065,-4.961686516200351
-28.87969968008979,-4.9118830267157785
-28.556879336155735,-4.866534647194222
-28.23039292179656,-4.825920445005454
-27.89994848877087,-4.790319487519239
-27.56525408883733,-4.760010842105349
-27.226017773754567,-4.735273576133553
-26.881947595281215,-4.716386756973617
-26.532751605175918,-4.703629451995312
-26.178137855197306,-4.697280728568405
-25.81781439710403,-4.6976196540626685
-25.45148928265472,-4.7049252958478665
-25.078870563608014,-4.719476721293773
-24.699666291722544,-4.741552997770152
-24.313584518756965,-4.771433192646777
-23.9203332964699,-4.809396373293412
-23.51962972940835,-4.855712079279177
-23.11170751072173,-4.910106155454976
-22.697586125944913,-4.971477422676891
-22.27835094143802,-5.038655364118125
-21.855087323561147,-5.110469462951873
-21.42888063867439,-5.185749202351334
-21.000816253137874,-5.263324065489706
-20.57197953331169,-5.342023535540187
-20.14345584555594,-5.420677095675974
-19.71633055623074,-5.498114229070265
-19.291689031696187,-5.573164418896258
-18.870616638312377,-5.644657148327153
-18.454198742439434,-5.711421900536144
-18.043520710437445,-5.772288158696433
-17.63966790866652,-5.826085405981216
-17.24372570348676,-5.87164312556369
-16.856779461258274,-5.907790800617053
-16.479914548341167,-5.933357914314504
-16.11421633109554,-5.947173949829244
-15.760770175881497,-5.948068390334465
-15.420661449059148,-5.93487071900337
-15.094975516988585,-5.906410419009151
-14.784797746029922,-5.8615169735250126
-14.491213502543266,-5.799019865724149
-14.215308152888714,-5.717748578779759
-13.958167063426373,-5.61653259586504
-13.720875600516344,-5.49420140015319
-13.504519130518734,-5.349584474817408
-13.310183019793651,-5.1815113030308915
-13.138952634701191,-4.988811367966836
-12.991913341601467,-4.770314152798445
-12.870150506854575,-4.524849140698911
-12.774699888732535,-4.2513552239366215
-12.705367990392348,-3.9514823786992928
-12.660680924858848,-3.6297044417836917
-12.639104964739658,-3.2906272261653946
-12.639106382642394,-2.938856544819974
-12.65915145117468,-2.5789982107229896
-12.697706442944133,-2.2156580368500167
-12.753237630558377,-1.8534418361766292
-12.824211384842405,-1.4969548913302693
-12.909296506883116,-1.1497094145594853
-13.007789958645091,-0.8118257139470842
-13.119110184717815,-0.48276812322896073
-13.24267562969078,-0.1620009761410109
-13.377904738153479,0.15101139358088306
-13.524215954695395,0.4568046522008214
-13.681027723906022,0.7559144659829213
-13.84775849037485,1.0488765011912873
-14.02382669869137,1.3362264240900243
-14.208650793445067,1.618499900943249
-14.401653172426176,1.8962245192039038
-14.602407815225463,2.1696180918351557
-14.810684405852014,2.438498487769198
-15.026265586988691,2.702657093428151
-15.248934001318348,2.9618852952341332
-15.478472291523854,3.215974479609275
-15.714663100288071,3.464716032975693
-15.957289070293859,3.7079013417555164
-16.20613284422409,3.9453217923708657
-16.460977064761607,4.17676877124386
-16.721604374589294,4.402033664796629
-16.987797416389988,4.620907859451288
-17.259338832846577,4.833182741629966
-17.53601126664191,5.038649697754787
-17.817597360458855,5.23710011424787
-18.103879756980263,5.428325377531339
-18.39464109888901,5.612116874027318
-18.689664788490425,5.7882731520349395
-18.988750813002387,5.956749125821333
-19.29171526656236,6.117651569005643
-19.598374907306027,6.271093515519178
-19.908546493369094,6.417187999293239
-20.22204678288729,6.556048054259143
-20.53869253399631,6.687786714348192
-20.858300504831863,6.812517013491696
-21.180687453529643,6.930351985620961
-21.50567013822535,7.041404664667289
-21.83306531705472,7.145788084561996
-22.162689748153444,7.243615279236388
-22.494360189657215,7.334999282621765
-22.82789339970175,7.4200531286494416
-23.16310613642275,7.498889851250722
-23.49981515795593,7.571622484356915
-23.837837222436992,7.638364061899327
-24.176989088001637,7.699227617809266
-24.517087512785583,7.75432618601804
-24.857949254924513,7.803772800456952
-25.199391072554153,7.847680495057314
-25.5412297238102,7.8861623037504325
-25.883281966828363,7.919331260467612
-26.225364559744357,7.947300399140167
-26.56730024745197,7.970180227188961
-26.909006222864175,7.988041393416687
-27.25047495841466,8.000922777429592
-27.59170101764942,8.0088623763501
-27.93267896411447,8.011898187300641
-28.273403361355808,8.010068207403641
-28.613868772919467,8.00341043378153
-28.954069762351438,7.991962863556737
-29.294000893197754,7.975763493851692
-29.633656729004414,7.9548503217888165
-29.973031833317435,7.929261344490546
-30.31212076968282,7.899034559079305
-30.650918101646575,7.864207962677524
-30.989418392754736,7.824819552407628
-31.327616206553294,7.7809073253920475
-31.665506106588275,7.732509278753213
-32.00308265640568,7.679663409613549
